Site,VLAN,Service,"	Bl Fo Mini Hubs"
BAR_X0137,,2G_scl,BAR_X0125
BAR_X0137,,3G_scl,BAR_X0125
BAR_X0143,,2G_scl,BAR_X0143
BAR_X0143,,3G_scl,BAR_X0143
BAR_X0152,,2G_scl,BAR_X0143
BAR_X0152,,3G_scl,BAR_X0143
BAR_X0154,,2G_scl,BAR_X0021
BAR_X0159,,2G_fhl,BAR_X0096
BAR_X0159,,3G_fhl,BAR_X0096
BAR_X0160,,2G_fhl,BAR_X0096
BAR_X0160,,3G_fhl,BAR_X0096
BAR_X0161,,2G_fhl,BAR_X0096
BAR_X0161,,3G_fhl,BAR_X0096
BAR_X0163,,2G_scl,BAR_X0174_1
BAR_X0164,,2G_scl,BAR_X0174_1
BAR_X0165,,2G_scl,BAR_X0174_1
BAR_X0170,,2G_scl,BAR_X0021
BAR_X0174,,2G_scl,BAR_X0174
BAR_X0174,,RTN_scl,BAR_X0174
BAR_X0175,,2G_scl,BAR_X0021
BAR_X0176,,2G_scl,BAR_X0176
BAR_X0180,,2G_scl,BAR_X0143
BAR_X0180,,3G_scl,BAR_X0143
BAR_X0182,,2G_scl,BAR_X0174_1
BAR_X0183,,2G_fhl,BAR_X0069
BAR_X0184,,2G_fhl,BAR_X0096
BAR_X0184,,3G_fhl,BAR_X0096
BAR_X0189,,2G_scl,BAR_X0189
BAR_X0189,,3G_scl,BAR_X0189
BAR_X0193,,2G_scl,BAR_X0128
BAR_X0193,,3G_scl,BAR_X0128
BAR_X0194,,2G_fhl,BAR_X0096
BAR_X0194,,3G_fhl,BAR_X0096
BAR_X0195,,2G_scl,BAR_X0234
BAR_X0195,,3G_scl,BAR_X0234
BAR_X0200,,2G_scl,BAR_X0174
BAR_X0202,,2G_scl,BAR_X0176
BAR_X0202,,3G_scl,BAR_X0176
BAR_X0204,,2G_scl,BAR_X0174
BAR_X0205,,2G_scl,BAR_X0174
BAR_X0206,,2G_scl,BAR_X0206
BAR_X0213,,2G_scl,BAR_X0174
BAR_X0213,,RTN_scl,BAR_X0174
BAR_X0214,,2G_scl,BAR_X0008
BAR_X0214,,3G_scl,BAR_X0008
BAR_X0215,,2G_scl,BAR_X0021
BAR_X0222,,2G_scl,BAR_X0021
BAR_X0230,,2G_scl,BAR_X0021
BAR_X0230,,RTN_scl,BAR_X0021
BAR_X0234,,2G_scl,BAR_X0234
BAR_X0235,,2G_scl,BAR_X0206
BAR_X0235,,3G_scl,BAR_X0206
BAR_X0240,,2G_scl,BAR_X0021
BAR_X0253,,2G_scl,BAR_X0174_1
BAR_X0259,,2G_scl,BAR_X0143
BAR_X0259,,3G_scl,BAR_X0143
BAR_X0260,,2G_scl,BAR_X0039
BAR_X0260,,3G_scl,BAR_X0039
BAR_X0265,,2G_scl,BAR_X0234
BAR_X0265,,3G_scl,BAR_X0234
BAR_X0272,,2G_scl,BAR_X0112
BAR_X0272,,3G_scl,BAR_X0112
BAR_X0305,,2G_scl,BAR_X0174
BAR_X0310,,2G_scl,BAR_X0125
BAR_X0317,,2G_scl,BAR_X0176
BAR_X0317,,3G_scl,BAR_X0176
BAR_X0323,,2G_scl,BAR_X0125
BAR_X0323,,3G_scl,BAR_X0125
BAR_X0328,,2G_scl,BAR_X0125
BAR_X0328,,3G_scl,BAR_X0125
BAR_X0344,,2G_scl,BAR_X0189
BAR_X0359,,2G_scl,BAR_X0119
BAR_X0359,,3G_scl,BAR_X0119
BAR_X0360,,2G_scl,BAR_X0112
BAR_X0360,,3G_scl,BAR_X0112
BAR_X0361,,2G_scl,BAR_X0082
BAR_X0361,,3G_scl,BAR_X0082
BAR_X0363,,2G_scl,BAR_X0234
BAR_X0366,,2G_scl,BAR_X0143
BAR_X0366,,3G_scl,BAR_X0143
BAR_X0372,,2G_scl,BAR_X0021
BAR_X0373,,2G_scl,BAR_X0039
BAR_X0374,,2G_scl,BAR_X0021
BAR_X0377,,2G_scl,BAR_X0234
BAR_X0377,,3G_scl,BAR_X0234
BAR_X0380,,2G_fhl,BAR_X0096
BAR_X0387,,2G_scl,BAR_X0082
BAR_X0390,,2G_scl,BAR_X0143
BAR_X0390,,3G_scl,BAR_X0143
BAR_X0392,,2G_scl,BAR_X0174_1
BAR_X0393,,2G_scl,BAR_X0174_1
BAR_X0396,,2G_scl,BAR_X0143
BAR_X0396,,3G_scl,BAR_X0143
BAR_X0405,,2G_scl,BAR_X0189
BAR_X0405,,3G_scl,BAR_X0189
BAR_X0409,,2G_scl,BAR_X0174_1
BAR_X0418,,2G_scl,BAR_X0143
BAR_X0418,,3G_scl,BAR_X0143
BAR_X0421,,2G_scl,BAR_X0112
BAR_X0421,,3G_scl,BAR_X0112
BAR_X0425,,2G_scl,BAR_X0143
BAR_X0425,,3G_scl,BAR_X0143
BAR_X0428,,2G_scl,BAR_X0021
BAR_X0430,,2G_scl,BAR_X0121
BAR_X0430,,3G_scl,BAR_X0121
BAR_X0454,,2G_fhl,BAR_X0069
BAR_X0456,,2G_scl,BAR_X0174_1
BAR_X0457,,2G_scl,BAR_X0174_1
BAR_X0461,,2G_scl,BAR_X0189
BAR_X0461,,3G_scl,BAR_X0189
BAR_X0463,,2G_scl,BAR_X0098
BAR_X0463,,3G_scl,BAR_X0098
BAR_X0465,,2G_scl,BAR_X0121
BAR_X0465,,3G_scl,BAR_X0121
BAR_X0485,,2G_scl,BAR_X0189
BAR_X0485,,3G_scl,BAR_X0189
BAR_X0486,,2G_scl,BAR_X0121
BAR_X0486,,3G_scl,BAR_X0121
BAR_X0488,,2G_scl,BAR_X0125
BAR_X0488,,3G_scl,BAR_X0125
BAR_X0501,,2G_scl,BAR_X0039
BAR_X0501,,3G_scl,BAR_X0039
BAR_X0507,,2G_scl,BAR_X0234
BAR_X0507,,3G_scl,BAR_X0234
BAR_X0524,,2G_scl,BAR_X0234
BAR_X0524,,3G_scl,BAR_X0234
BAR_X0526,,2G_scl,BAR_X0125
BAR_X0526,,3G_scl,BAR_X0125
BAR_X0527,,2G_scl,BAR_X0098
BAR_X0527,,3G_scl,BAR_X0098
BAR_X0528,,2G_scl,BAR_X0125
BAR_X0528,,3G_scl,BAR_X0125
BAR_X0532,,2G_scl,BAR_X0234
BAR_X0532,,3G_scl,BAR_X0234
BAR_X0537,,2G_scl,BAR_X0098
BAR_X0562,,2G_scl,BAR_X0121
BAR_X0565,,2G_scl,BAR_X0111
BAR_X9801,,2G_scl,BAR_X0111
BAR_X9801,,3G_scl,BAR_X0111
BTRM01,,2G_scl,CTG_X0776
CTG_B0350,,2G_scl,CTG_X0762
CTG_B0350,,3G_scl,CTG_X0762
CTG_B0569,,2G_fhl,CTG_B0569
CTG_B0569,,3G_fhl,CTG_B0569
CTG_B0570,,2G_fhl,CTG_B0570
CTG_B0570,,3G_fhl,CTG_B0570
CTG_B1409,,2G_fhl,CTG_B1409
CTG_B1409,,3G_fhl,CTG_B1409
CTG_B1419,,2G_fhl,CTG_B1419
